date,exercise,stance,grip,equipment1,equipment2,equipment3,tempo,band tension,chain tension,setNumber,weight,reps,RPE,superset with,notes
1/1/18,lowbar squat,,,belt,,,,,,1,330,6,7,,
1/1/18,lowbar squat,,,belt,,,,,,2,330,6,8,,
1/1/18,lowbar squat,,,belt,,,,,,3,330,6,8,,
1/1/18,lowbar squat,,,belt,,,,,,4,330,6,8.5,,
1/1/18,conv DL,,,,,,,,,1,360,6,7,,
1/1/18,conv DL,,,,,,,,,2,360,6,7,,
1/2/18,bench press,,,,,,,,,1,285,1,,,
1/2/18,bench press,,,,,,,,,2,305,1,9.5,,
1/2/18,bench press,,,,,,,,,3,285,1,,,
1/2/18,bench press,,,,,,,,,4,310,1,9.5,,
1/2/18,bench press,,,,,,,,,5,315,1,9.5,,
1/2/18,OHP (DB),,,,,,,,,1,80,10,8.5,,
1/2/18,OHP (DB),,,,,,,,,2,80,10,9,,
1/2/18,OHP (DB),,,,,,,,,2,80,10,9,,
1/2/18,chinup,,,,,,,,,1,45,5,,,
1/2/18,chinup,,,,,,,,,2,55,5,,,
1/2/18,chinup,,,,,,,,,3,65,5,,,
1/2/18,chinup,,,,,,,,,4,70,5,,,
1/5/18,bench press,,,,,,,,,1,320,1,9,,
1/5/18,bench press,,,,,,,,,2,330,1,10,,
1/5/18,lowbar squat,,,belt,,,,,,1,295,8,5,,
1/5/18,lowbar squat,,,belt,,,,,,2,305,8,5.5,,
1/5/18,lowbar squat,,,belt,,,,,,3,305,8,6,,
1/5/18,lowbar squat,,,belt,,,,,,4,305,8,6.5,,
1/5/18,conv DL,,,,,,,,,1,315,8,<5,,
1/5/18,conv DL,,,,,,,,,2,335,8,5.5,,
1/8/18,lowbar squat,,,belt,,,,,,1,330,10,8.5,,
1/8/18,lowbar squat,,,belt,,,,,,2,335,3,,,1min rest
1/8/18,lowbar squat,,,belt,,,,,,4,335,3,,,1min rest
1/8/18,lowbar squat,,,belt,,,,,,4,335,3,,,1min rest
1/8/18,lowbar squat,,,belt,,,,,,5,335,3,,,1min rest
1/8/18,lowbar squat,,,belt,,,,,,6,335,3,,,1min rest
1/8/18,"conv DL (1"" deficit)",,,,,,,,,1,275,8,<5,,
1/8/18,"conv DL (1"" deficit)",,,,,,,,,2,275,8,<5,,
1/8/18,"conv DL (1"" deficit)",,,,,,,,,3,275,8,<5,,
1/9/18,bench press (incline),,,,,,,,,1,205,7,6.5,,
1/9/18,bench press (incline),,,,,,,,,2,205,7,6.5,,
1/9/18,bench press (incline),,,,,,,,,3,205,7,7.5,,
1/9/18,OHP (barbell),,,,,,,,,1,165,1,9,,
1/9/18,OHP (barbell),,,,,,,,,2,135,8,8.5,row (barbell),
1/9/18,OHP (barbell),,,,,,,,,3,135,8,8.5,row (barbell),
1/9/18,OHP (barbell),,,,,,,,,4,135,8,9,row (barbell),
1/9/18,row (barbell),,,,,,,,,1,220,8,<6,,
1/9/18,row (barbell),,,,,,,,,2,220,8,<6,,
